tweets,sentiment
9277,587 auxiliar covid19 lmao,Positive
28844,if wishes to solve the mystery of covid19 then needs to solve the mystery behind babaramdev first.,Negative
50623,tamil nadu cm m.k.stalin has announced rs.10 lakhs as solatium for journalists who have lost their lives due to covid19 earlier it was 5 lakhs. 1shotnews | journalist | mkstalin | media | tamilnadu | tamilnadunews | press,Negative
45387,we appreciate the kind contribution of reliance bp mobility limited in providing free fuel up to 50liters vehicle day to the emergency vehicles carrying covid19 positive people to isolation quarantine facilities. apfightscorona covid19pandemic,Positive
19747,south africans are being urged to reinforce non pharmaceutical measures aimed at curbing the spread of covid19 after 4623 new cases were recorded in the last 24 hour cycle covid19,Positive
20610,the new worrying factor on tns fight against covid19 during the second wave is coimbatore recording more cases than chennai! yesterday coimbatore recorded 4 268 fresh cases more than chennais 3 561. tpr is also much higher. need more focus on tns western districts.,Positive
626,in the bible texts we see that the antichrist will seek to kill the 2nd coming mesiah that will be done apparently by mass killings of children all around the world... every day 26.000 children die of preventable diseases such as a commoncold! covid19 thedoctrineoflucifer,Positive
52375,top 3 takeaways h.e. fouad siniora former prime minister of lebanon full interview to be published today. oott covid19 pandemic middleeast us iran russia lebanon,Positive
32171,dr hinds on pms vigils claim no single cause for current covid19 spike,Positive
40459,nithyananda purnima special program || 26 may 2021 || yt live fb live nithyananda kailasa covid19 special,Positive
29450,1 i prefer to see it as a cost effective means to incentivize young people who aren't really good at assessing risks and their parents to get vaccinated more quickly. the savings in lost productivity from reduced covid19 cases is likely worth it to our economy.,Positive
49164,all things considered why would anyone other than a so called patriot trust a covid19 vaccine from china or russia over one from practically any other country producing them? not that the usa has the best humanrights standing but at least they're not totally authoritarian.,Positive
22350,still need to get covid19 vaccine? find a location vaccine is free and walk in many places with no appointment needed,Positive
29612,a man who took over responsibility 2 cremate covid19 dead people from hissar who may or may not have been counted as covid19 deaths by indian govt. covidcrisis covid19india bbc cnn aljazeeranews,Negative
50500,510 19 travel good to hear im looking to head out there this weekend. enjoy your stay,Positive
25493,share with your legislators protecting childcare resources from any cuts must be a top priority for ils fy22 budget! covid19 showed us that these services are vital to working families a stable and productive economy and childrens early learning. allinforearlyed twill,Positive
34126,today at 2pm et join apa chief science officer and dr. kathleen ethier director of dash for a conversation about adolescent mental health in the wake of the covid19 pandemic. register,Negative
2330,our co founder had a great chat recently with on why he set up circuit what he considers circuits biggest success to date and how covid19 has affected the business. take a look at the full interview here gt; gt;,Positive
4483,to wrap up this year's panel discussion we think about longer term approaches on how to emerge from covid19 restrictions and adjust to better support teams and communities focusing on 'rise' resilience insight intelligence scale entrepreneurship ecosystem ideas2impact2021,Positive
5175,great dedication by volunteers of dss serve humanity.coronavirus salutetocoronawarriors coronawarriors covid19 covid19india corona mpfightscorona madhyapradesh,Positive
